club,last_name,first_name,position,base_salary,guaranteed_compensation
PhiladelphiaUnion,Aaronson,Brenden,M,85000,103309
FC Cincinnati,Abdul-Salaam,Saad,D,81375,90042
DC United,Abu,Mohammed,M,81375,81375
Colorado Rapids,Abubakar,Lalas,D,145000,154937
Nashville SC,Accam,David,F,875000,1002916
New York City FC,Acevedo,Nicolas,M,135000,151000
Toronto FC,Achara,Ifunanyachi,M,63547,63547
Colorado Rapids,Acosta,Kellyn,M,850000,965000
FC Dallas,Acosta,Bryan,M,600000,650000
Inter Miami,Acosta,George,M,81375,81375
LA Galaxy,Acosta,Danilo,D,81375,81375
Atlanta United,Adams,"Mohammed ""Mo""",M,110000,130000
Houston Dynamo,Adams,Kyle,D,63547,63547
Columbus Crew,Adi,Fanendo,F,1370008,1775008
Vancouver Whitecaps,Adnan,Ali,D,1149996,1227496
Columbus Crew,Afful,Harrison,D,310000,340000
Inter Miami,Agudelo,Juan,F,300000,300000
Orlando CitySC,Aias,Matheus,F,252000,267500
Minnesota United,Aja,Jose,D,81375,94708
San Jose Earthquakes,Akanyirige,Jacob,D,85000,87000
Orlando CitySC,Akindele,Tesho,F,200000,215000
Toronto FC,Akinola,Ayo,F,81375,149375
San Jose Earthquakes,Alanis,Oswaldo,D,450000,550000
Columbus Crew,Alashe,Fatai,M,210000,210000
Chicago Fire,Aliseda,Ignacio,F,399996,621497
Minnesota United,Alonso,Osvaldo,M,625000,672500
Toronto FC,Altidore,Jozy,F,2161250,3602250
Orlando CitySC,Alvarado,Alexander,F,220000,220000
LA Galaxy,Alvarez,Efrain,M,90000,94734
Minnesota United,Amarilla,Luis,F,525000,640500
FC Cincinnati,Amaya,Frankie,M,125000,162000
Inter Miami,Ambrose,Mikey,D,81375,81375
Colorado Rapids,Anderson,Sebastian,D,75000,76667
New EnglandRevolution,Angking,Isaac,M,81375,86375
Nashville SC,Anibaba,Jalil,D,175000,175000
Nashville SC,Anunga,Tah Brian,M,63547,63547
FC Dallas,Aranguiz,Pablo,M,460000,520000
LA Galaxy,Araujo,Julian,D,90000,96250
New York City FC,Araujo dos Santos,Heber,F,785000,788750
Major League Soccer,Argudo,Luis,M,81375,81375
Seattle Sounders FC,Arreaga,Xavier,D,393600,500850
Real Salt Lake,Arriaga,Luis,M,73763,73763
DC United,Arriola,Paul,M,725000,757000
DC United,Asad,Yamil,F,425000,492667
Portland Timbers,Asprilla,Dairon,F,250000,263750
Seattle Sounders FC,Atencio,Joshua,M,63547,68162
Portland Timbers,Attinella,Jeff,G,175000,187250
FC Dallas,Atuahene,Francis,F,145000,174000
LAFC,Atuesta,Eduard,M,600000,618000
Chicago Fire,Azira,Micheal,M,155000,161625
Nashville SC,Badji,Dominique,F,250000,256250
FC Cincinnati,Bailey,Zico,D,63547,63547
Vancouver Whitecaps,Bair,Thelonius,F,63547,63547
Real Salt Lake,Baird,Corey,D,300000,331031
