club,last_name,first_name,position,base_salary,guaranteed_compensation
Atlanta United,McFadden,Aiden,D,85444.0,85444.0
Atlanta United,Fortune,Ajani,M,67360.0,67360.0
Atlanta United,Sejdic,Amar,D,85444.0,92111.0
Atlanta United,Gutman,Andrew,D,350000.0,381250.0
Atlanta United,Guzan,Brad,G,600000.0,612500.0
Atlanta United,Lennon,Brooks,D,700000.0,700000.0
Atlanta United,Wiley,Caleb,D,85444.0,87044.0
Atlanta United,Diop,Clément,G,85444.0,85444.0
Atlanta United,Etienne Jr.,Derrick,F,676250.0,676250.0
Atlanta United,Mosquera,Edwin,F,375000.0,412000.0
Atlanta United,Morales,Efraín,D,85444.0,85444.0
Atlanta United,López,Erik,F,400000.0,568300.0
Atlanta United,Centeno,Erik,D,67360.0,79136.0
Atlanta United,Barco,Esequiel,F,2200000.0,2200000.0
Atlanta United,Ibarra,Franco,D,550000.0,620000.0
Atlanta United,Giakoumakis,Georgios,F,1576636.0,1748728.0
Atlanta United,Conway,Jackson,F,89716.0,89716.0
Atlanta United,Purata,Juan José,D,400000.0,483500.0
Atlanta United,Garces,Justin,G,68775.0,68775.0
Atlanta United,Abram,Luis,D,556364.0,695977.0
Atlanta United,Araújo,Luiz,F,3600000.0,4483333.0
Atlanta United,Chol,Machop,F,89716.0,89716.0
Atlanta United,Moreno,Marcelino,M,520000.0,628333.0
Atlanta United,Rossetto,Matheus,M,650000.0,764375.0
Atlanta United,Berry,Miguel,F,135000.0,135000.0
Atlanta United,Robinson,Miles,D,1400000.0,1437500.0
Atlanta United,Cobb,Noah,D,67360.0,67360.0
Atlanta United,Alonso,Osvaldo,D,88200.0,88200.0
Atlanta United,Westberg,Quentin,G,200000.0,200000.0
Atlanta United,Hernández,Ronald,D,375000.0,375000.0
Atlanta United,Sosa,Santiago,D,575000.0,693100.0
Atlanta United,Almada,Thiago,M,1650000.0,2332000.0
Atlanta United,Wolff,Tyler,F,120000.0,124500.0
Austin FC,Lundqvist,Adam,D,350000.0,397500.0
Austin FC,Radovanovic,Aleksandar,D,600000.0,692500.0
Austin FC,Ring,Alexander,M,1500000.0,1640000.0
Austin FC,Ocampo-Chávez,Alfonso,F,67360.0,83360.0
Austin FC,Abdel-Aziz,Amro Tarek,D,249996.0,249996.0
Austin FC,Stuver,Brad,G,408000.0,430813.0
Austin FC,Asensio,Charlie,D,68775.0,68775.0
Austin FC,Fodrey,CJ,F,67360.0,69360.0
Austin FC,Las,Damian,G,67360.0,67360.0
Austin FC,Pereira,Daniel,M,100000.0,118414.0
Austin FC,Fagúndez,Diego,F,1000000.0,1060000.0
Austin FC,Rigoni,Emiliano,F,1599996.0,2047996.0
Austin FC,Finlay,Ethan,F,425000.0,425000.0
Austin FC,Zardes,Gyasi,F,800000.0,800000.0
Austin FC,Jiménez,Héctor,D,85444.0,85444.0
Austin FC,Romaña,Jhohan,D,460000.0,460000.0
Austin FC,Valencia,Jhojan,D,400000.0,445125.0
Austin FC,Gallagher,Jon,D,300000.0,300000.0
Austin FC,Cascante,Julio,D,620000.0,693750.0
Austin FC,Keller,Kipp,D,100000.0,112500.0
Austin FC,Väisänen,Leo,D,600000.0,654500.0
Austin FC,Bersano,Matt,G,125000.0,132500.0
Austin FC,Urruti,Maximiliano,F,700000.0,736250.0
Austin FC,Djitté,Moussa,F,600000.0,600000.0
Austin FC,Lima,Nick,D,375000.0,375000.0
Austin FC,Wolff,Owen,M,100000.0,113053.0
Austin FC,Redes,Rodney,F,440000.0,440000.0
Austin FC,Driussi,Sebastián,M,3800000.0,6022500.0
Austin FC,Djeffal,Sofiane,M,75325.0,75325.0
Austin FC,Bruin,Will,F,200000.0,200000.0
Austin FC,Kolmanic,Zan,D,325000.0,325000.0
Charlotte FC,Armour,Adam,D,85444.0,85444.0
Charlotte FC,Malanda,Adilson,D,275000.0,303083.0
Charlotte FC,Zendejas,Adrián,G,85444.0,93430.0
Charlotte FC,Shinyashiki,Andre,F,500000.0,530000.0
Charlotte FC,Privett,Andrew,M,67360.0,67360.0
Charlotte FC,Westwood,Ashley,D,750000.0,850000.0
Charlotte FC,Bender,Ben,M,85444.0,105444.0
Charlotte FC,Tuiloma,Bill,D,435000.0,459938.0
Charlotte FC,Cambridge,Brandon,M,67360.0,75386.0
Charlotte FC,Bronico,Brandt,M,310000.0,348375.0
Charlotte FC,Romero,Brian,F,67360.0,78193.0
Charlotte FC,Hegardt,Chris,D,85444.0,92956.0
Charlotte FC,Jones,Derrick,M,325000.0,347969.0
Charlotte FC,Copetti,Enzo,F,1000000.0,1142250.0
Charlotte FC,Marks,George,G,68775.0,68775.0
Charlotte FC,Corujo,Guzmán,D,625000.0,658500.0
Charlotte FC,Diop,Hamady,D,67360.0,74860.0
Charlotte FC,Afful,Harrison,D,85444.0,85444.0
Charlotte FC,Walker,Isaac,G,67360.0,67360.0
Charlotte FC,Neeley,Jack,D,67360.0,69360.0
Charlotte FC,Sobocinski,Jan,D,325000.0,351250.0
Charlotte FC,Lindsey,Jaylin,D,250000.0,286250.0
Charlotte FC,Mora,Joseph,D,225000.0,225000.0
Charlotte FC,Meram,Justin,F,450000.0,493750.0
Charlotte FC,Józwiak,Kamil,F,1100000.0,1217000.0
Charlotte FC,Swiderski,Karol,F,2200000.0,2258000.0
Charlotte FC,Vargas,Kerwin,F,375000.0,412125.0
Charlotte FC,Kahlina,Kristijan,G,500000.0,526875.0
Charlotte FC,Byrne,Nathan,D,560000.0,607833.0
Charlotte FC,Scardina,Nick,F,67360.0,67360.0
Charlotte FC,Berchimas,Nimfasha,F,67360.0,82294.0
Charlotte FC,Santos,Nuno,M,550000.0,611387.0
Charlotte FC,McKinze Gaines II,Orrin,F,100000.0,102750.0
Charlotte FC,Sisniega,Pablo,G,190000.0,210667.0
Charlotte FC,Agyemang,Patrick,F,67360.0,67360.0
Charlotte FC,Silveira de Mello,Vinicius,F,315000.0,349900.0
Chicago Fire,Monis,Alex,F,85444.0,87344.0
Chicago Fire,Rodriguez,Allan,D,85444.0,87344.0
Chicago Fire,Aceves,Alonso,D,330000.0,368900.0
Chicago Fire,Souquet,Arnaud,D,600000.0,679667.0
Chicago Fire,Gutiérrez,Brian,M,200004.0,240004.0
Chicago Fire,Mueller,Chris,F,600000.0,662320.0
Chicago Fire,Brady,Chris,G,189996.0,213246.0
Chicago Fire,Herbers,Fabian,F,310000.0,331250.0
Chicago Fire,Navarro,Federico,D,450000.0,507500.0
Chicago Fire,Giménez,Gastón,D,1600000.0,1633333.0
Chicago Fire,Koutsias,Georgios,F,470800.0,470800.0
Chicago Fire,Torres,Jairo,F,1100004.0,1469337.0
Chicago Fire,Casas,Javier,M,85444.0,87344.0
Chicago Fire,Gal,Jeff,G,85444.0,85444.0
Chicago Fire,Dean,Jonathan,D,85444.0,93611.0
Chicago Fire,Reynolds,Justin,D,67360.0,67360.0
Chicago Fire,Przybylko,Kacper,F,1100004.0,1212504.0
Chicago Fire,Kamara,Kei,F,220000.0,231000.0
Chicago Fire,Burks,Kendall,D,88200.0,88200.0
Chicago Fire,Haile-Selassie,Maren,M,264000.0,279800.0
Chicago Fire,Pineda,Mauricio,D,255000.0,278875.0
Chicago Fire,Navarro,Miguel Ángel,D,260004.0,299004.0
Chicago Fire,Rodríguez,Missael,F,67360.0,67360.0
Chicago Fire,Czichos,Rafael,D,1300000.0,1336667.0
Chicago Fire,Oregel,Sergio,M,67360.0,67360.0
Chicago Fire,Richey,Spencer,G,132000.0,132000.0
Chicago Fire,Bezerra,Victor,F,85444.0,97905.0
Chicago Fire,Omsberg,Wyatt,D,170000.0,187000.0
Chicago Fire,Shaqiri,Xherdan,M,7350000.0,8153000.0
Colorado Rapids,Keita,Aboubacar,D,160000.0,160000.0
Colorado Rapids,Rodriguez,Abraham,G,88200.0,88200.0
Colorado Rapids,Gersbach,Alex,D,230000.0,270433.0
Colorado Rapids,Maxsö,Andreas,D,1100000.0,1292500.0
Colorado Rapids,Markanich,Anthony,D,68775.0,68775.0
Colorado Rapids,Galván,Braian,F,365700.0,462022.0
Colorado Rapids,Acosta,Bryan,M,675000.0,731667.0
Colorado Rapids,Harris,Calvin,F,100000.0,113000.0
Colorado Rapids,Bassett,Cole,M,450000.0,450000.0
Colorado Rapids,Warner,Collen,M,85444.0,85444.0
Colorado Rapids,Ronan,Connor,M,460000.0,512400.0
Colorado Rapids,Wilson,Danny,D,330000.0,354750.0
Colorado Rapids,Leyva,Danny,D,200000.0,224900.0
Colorado Rapids,Yapi,Darren,F,85444.0,96277.0
Colorado Rapids,Rubio,Diego,F,660000.0,704667.0
Colorado Rapids,Vallecilla,Gustavo,D,336000.0,368880.0
Colorado Rapids,Price,Jack,M,762500.0,825000.0
Colorado Rapids,Travis,Jackson,D,67360.0,69860.0
